payment_id,payment_datetime,method,order_datetime,type,order_id,table_id,menu_item_id,menu_item_name,Menu_Category,menu_category_id,price,Items_Sold,Revenue,recipe_id,recipe_name,inventory_used,total,table_status
P00001,03/05/2025,Online,03/05/2025,Delivery,O00001,T68,M001,Menu Item M001,Dessert,1,6.12,3,18.36,R001,Recipe R001,Butter - 20g; Beef - 250g,18.36,reserved
P00002,03/05/2025,Credit Card,03/05/2025,Takeout,O00002,T79,M002,Menu Item M002,Appetizer,2,6.43,4,25.71,R002,Recipe R002,Cheese - 50g; Tomato - 100g,25.71,dirty
P00003,03/05/2025,Online,03/05/2025,Delivery,O00003,T85,M003,Menu Item M003,Main Course,3,30.44,4,121.75,R003,Recipe R003,Salt - 5g,121.75,reserved
P00004,03/05/2025,Cash,03/05/2025,Dine-in,O00004,T10,M004,Menu Item M004,Dessert,1,9.82,3,29.45,R004,Recipe R004,Lettuce - 30g; Butter - 20g,29.45,reserved
P00005,03/05/2025,Cash,03/05/2025,Dine-in,O00005,T10,M005,Menu Item M005,Main Course,3,39.58,3,118.74,R005,Recipe R005,Tomato - 100g; Beef - 250g,118.74,dirty
P00006,03/05/2025,Credit Card,03/05/2025,Takeout,O00006,T37,M006,Menu Item M006,Appetizer,2,5.13,3,15.4,R006,Recipe R006,Sugar - 10g; Cheese - 50g,15.4,dirty
P00007,03/05/2025,Cash,03/05/2025,Dine-in,O00007,T10,M007,Menu Item M007,Main Course,3,32.08,4,128.33,R007,Recipe R007,Tomato - 100g,128.33,reserved
P00008,03/05/2025,Cash,03/05/2025,Dine-in,O00008,T10,M008,Menu Item M008,Appetizer,2,6.82,4,27.29,R008,Recipe R008,Milk - 200ml; Chicken - 200g; Cheese - 50g,27.29,available
P00009,03/05/2025,Credit Card,03/05/2025,Takeout,O00009,T09,M009,Menu Item M009,Appetizer,2,13.42,3,40.27,R009,Recipe R009,Lettuce - 30g; Flour - 100g,40.27,reserved
P00010,03/05/2025,Online,03/05/2025,Delivery,O00010,T29,M010,Menu Item M010,Dessert,1,9.73,4,38.91,R010,Recipe R010,Tomato - 100g; Sugar - 10g; Eggs - 2pcs,38.91,reserved
